order_id,order_date,customer_id
100000,2025-01-01,CUST8360
100001,2025-01-01,CUST7771
100002,2025-01-01,CUST1186
100003,2025-01-01,CUST2289
100004,2025-01-01,CUST6000
100005,2025-01-01,CUST9915
100006,2025-01-01,CUST3507
100007,2025-01-01,CUST7337
100008,2025-01-01,CUST9333
100009,2025-01-01,CUST2930
100010,2025-01-01,CUST2831
100011,2025-01-01,CUST2152
100012,2025-01-01,CUST5658
100013,2025-01-01,CUST1291
100014,2025-01-01,CUST3865
100015,2025-01-01,CUST7559
100016,2025-01-01,CUST1813
100017,2025-01-01,CUST3207
100018,2025-01-01,CUST3807
100019,2025-01-01,CUST3958
100020,2025-01-01,CUST4613
100021,2025-01-01,CUST8954
100022,2025-01-01,CUST3724
100023,2025-01-01,CUST6776
100024,2025-01-01,CUST8070
100025,2025-01-01,CUST1921
100026,2025-01-01,CUST3337
100027,2025-01-01,CUST2430
100028,2025-01-01,CUST2940
100029,2025-01-01,CUST2670
100030,2025-01-01,CUST6566
100031,2025-01-01,CUST2850
100032,2025-01-01,CUST2210
100033,2025-01-01,CUST4470
100034,2025-01-01,CUST4111
100035,2025-01-01,CUST7596
100036,2025-01-01,CUST7448
100037,2025-01-01,CUST5684
100038,2025-01-01,CUST3844
100039,2025-01-01,CUST9865
100040,2025-01-01,CUST9884
100041,2025-01-01,CUST7620
100042,2025-01-01,CUST9234
100043,2025-01-01,CUST8632
100044,2025-01-01,CUST3908
100045,2025-01-01,CUST3417
100046,2025-01-01,CUST9796
100047,2025-01-01,CUST3908
100048,2025-01-01,CUST7394
100049,2025-01-01,CUST7761
100050,2025-01-01,CUST1758
100051,2025-01-01,CUST5044
100052,2025-01-01,CUST8385
100053,2025-01-01,CUST4441
100054,2025-01-01,CUST7831
100055,2025-01-01,CUST7210
100056,2025-01-01,CUST8638
100057,2025-01-01,CUST3452
100058,2025-01-01,CUST5786
100059,2025-01-01,CUST8937
100060,2025-01-01,CUST9038
100061,2025-01-01,CUST4003
100062,2025-01-01,CUST5738
100063,2025-01-01,CUST3545
100064,2025-01-01,CUST4070
100065,2025-01-01,CUST9091
100066,2025-01-01,CUST6552
100067,2025-01-01,CUST4721
100068,2025-01-01,CUST8949
100069,2025-01-01,CUST1049
100070,2025-01-01,CUST5535
100071,2025-01-01,CUST3477
100072,2025-01-01,CUST2418
100073,2025-01-01,CUST2509
100074,2025-01-01,CUST2673
100075,2025-01-01,CUST6169
100076,2025-01-01,CUST9667
100077,2025-01-01,CUST7734
100078,2025-01-01,CUST5718
100079,2025-01-01,CUST8009
